year,period,sector,role_family,role,occupation_proxy,historical_role_status,ict_employment,ict_employment_share_pct,total_employment,labour_force_participation_rate_pct,employment_to_population_ratio_pct,unemployment_rate_pct,tertiary_employment_count,role_demand_index,role_share_within_ict_pct,role_employment_proxy,emergence_year,data_basis,synthetic_flag,target_role_demand_index_1y,target_role_demand_index_2y,target_role_demand_6m,note_6m,role_encoded,years_since_emergence,trend_position,share_lag1,share_change_1y,share_change_2y,share_accel,share_growth_rate,target_share_1y,sample_weight
2019,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,35.0,5.177,5020.8,2018,NISR Labour Force Survey microdata,1,36.82,37.5,,No sub-annual data available,8,1,0.5625,4.807,0.3699999999999992,5.018,-4.278000000000001,0.07146996329920789,5.356,0.22313016014842982
2020,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,36.82,5.356,4917.9,2018,NISR Labour Force Survey microdata,1,37.5,39.02,,No sub-annual data available,8,2,0.625,5.177,0.17900000000000027,0.5489999999999995,-0.19099999999999895,0.033420463032113566,5.41,0.2865047968601901
2021,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,37.5,5.41,2956.0,2018,NISR Labour Force Survey microdata,1,39.02,41.57,,No sub-annual data available,8,3,0.6875,5.356,0.05400000000000027,0.23300000000000054,-0.125,0.00998151571164515,5.477,0.36787944117144233
2022,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,39.02,5.477,4698.4,2018,NISR Labour Force Survey microdata,1,41.57,43.16,,No sub-annual data available,8,4,0.75,5.41,0.06700000000000017,0.12100000000000044,0.0129999999999999,0.012232974255979582,5.644,0.4723665527410147
2023,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,41.57,5.644,7692.2,2018,NISR Labour Force Survey microdata,1,43.16,42.73,,No sub-annual data available,8,5,0.8125,5.477,0.16699999999999982,0.23399999999999999,0.09999999999999964,0.029588944011339442,5.788,0.6065306597126334
2024,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,43.16,5.788,10441.5,2018,NISR Labour Force Survey microdata,1,42.73,46.7,,No sub-annual data available,8,6,0.875,5.644,0.14400000000000013,0.31099999999999994,-0.022999999999999687,0.024879060124395322,5.77,0.7788007830714049
2025,annual,ICT,Software Development,Full-Stack Developer,Software developers / applications programmers,trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,42.73,5.77,12302.1,2018,NISR Labour Force Survey microdata,1,46.7,,,No sub-annual data available,8,7,0.9375,5.788,-0.018000000000000682,0.12599999999999945,-0.1620000000000008,-0.0031195840554593905,5.151,1.0
2010,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,23.04,5.258,295.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.14,22.5,,No sub-annual data available,9,0,0.0,0.0,0.0,0.0,0.0,0.0,5.115,0.023517745856009107
2011,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,22.14,5.115,380.6,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.5,23.61,,No sub-annual data available,9,1,0.0625,5.258,-0.1429999999999998,0.0,0.0,-0.027956989247311787,5.178,0.0301973834223185
2012,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,22.5,5.178,497.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,23.61,23.84,,No sub-annual data available,9,2,0.125,5.115,0.06299999999999972,-0.08000000000000007,0.20599999999999952,0.012166859791425207,5.369,0.03877420783172201
2013,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,23.61,5.369,664.4,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,23.84,22.84,,No sub-annual data available,9,3,0.1875,5.178,0.19099999999999984,0.25399999999999956,0.1280000000000001,0.035574594896628765,4.726,0.049787068367863944
2014,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,23.84,4.726,747.2,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.84,22.1,,No sub-annual data available,9,4,0.25,5.369,-0.6429999999999998,-0.45199999999999996,-0.8339999999999996,-0.1360558611933982,4.534,0.06392786120670757
2015,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,22.84,4.534,906.3,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.1,22.68,,No sub-annual data available,9,5,0.3125,4.726,-0.19200000000000017,-0.835,0.4509999999999996,-0.042346713718570836,4.023,0.0820849986238988
2016,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,22.1,4.023,1035.7,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,22.68,23.75,,No sub-annual data available,9,6,0.375,4.534,-0.5110000000000001,-0.7030000000000003,-0.31899999999999995,-0.1270196370867512,3.863,0.10539922456186433
2017,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,22.68,3.863,1677.1,2010,NISR Labour Force Survey microdata,1,23.75,23.73,,No sub-annual data available,9,7,0.4375,4.023,-0.1599999999999997,-0.6709999999999998,0.3510000000000004,-0.04141858659073251,3.694,0.1353352832366127
2018,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,23.75,3.694,2559.5,2010,NISR Labour Force Survey microdata,1,23.73,22.65,,No sub-annual data available,9,8,0.5,3.863,-0.16900000000000004,-0.32899999999999974,-0.009000000000000341,-0.04574986464537088,3.51,0.17377394345044514
2019,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,23.73,3.51,3404.1,2010,NISR Labour Force Survey microdata,1,22.65,22.1,,No sub-annual data available,9,9,0.5625,3.694,-0.18400000000000016,-0.3530000000000002,-0.015000000000000124,-0.05242165242165247,3.294,0.22313016014842982
2020,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,22.65,3.294,3024.6,2010,NISR Labour Force Survey microdata,1,22.1,22.86,,No sub-annual data available,9,10,0.625,3.51,-0.21599999999999975,-0.3999999999999999,-0.031999999999999584,-0.0655737704918032,3.189,0.2865047968601901
2021,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,22.1,3.189,1742.5,2010,NISR Labour Force Survey microdata,1,22.86,23.86,,No sub-annual data available,9,11,0.6875,3.294,-0.10499999999999998,-0.32099999999999973,0.11099999999999977,-0.03292568203198494,3.209,0.36787944117144233
2022,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,22.86,3.209,2752.8,2010,NISR Labour Force Survey microdata,1,23.86,23.59,,No sub-annual data available,9,12,0.75,3.189,0.020000000000000018,-0.08499999999999996,0.125,0.006232471174820822,3.239,0.4723665527410147
2023,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,23.86,3.239,4414.4,2010,NISR Labour Force Survey microdata,1,23.59,22.48,,No sub-annual data available,9,13,0.8125,3.209,0.029999999999999805,0.04999999999999982,0.009999999999999787,0.009262117937635013,3.164,0.6065306597126334
2024,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,23.59,3.164,5707.8,2010,NISR Labour Force Survey microdata,1,22.48,37.7,,No sub-annual data available,9,14,0.875,3.239,-0.07499999999999973,-0.04499999999999993,-0.10499999999999954,-0.023704171934260346,3.035,0.7788007830714049
2025,annual,ICT,ICT Management,ICT Manager / IT Manager,ICT service managers,trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,22.48,3.035,6470.9,2010,NISR Labour Force Survey microdata,1,37.7,,,No sub-annual data available,9,15,0.9375,3.164,-0.129,-0.20399999999999974,-0.05400000000000027,-0.042504118616144976,4.156,1.0
2010,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,0.18,0.041,2.3,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.15,0.14,,No sub-annual data available,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.023517745856009107
2011,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,0.15,0.035,2.6,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.14,0.13,,No sub-annual data available,10,0,0.0625,0.041,-0.005999999999999998,0.0,0.0,-0.17142857142857137,0.031,0.0301973834223185
2012,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,0.14,0.031,3.0,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.13,0.11,,No sub-annual data available,10,0,0.125,0.035,-0.0040000000000000036,-0.010000000000000002,0.001999999999999995,-0.12903225806451624,0.029,0.03877420783172201
2013,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,0.13,0.029,3.6,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.11,0.11,,No sub-annual data available,10,0,0.1875,0.031,-0.0019999999999999983,-0.006000000000000002,0.0020000000000000052,-0.06896551724137925,0.023,0.049787068367863944
2014,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,0.11,0.023,3.6,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.11,0.1,,No sub-annual data available,10,0,0.25,0.029,-0.006000000000000002,-0.008,-0.0040000000000000036,-0.2608695652173914,0.021,0.06392786120670757
2015,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,0.11,0.021,4.2,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,0.1,3.35,,No sub-annual data available,10,0,0.3125,0.023,-0.0019999999999999983,-0.008,0.0040000000000000036,-0.09523809523809515,0.018,0.0820849986238988
2016,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),historical proxy only,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,0.1,0.018,4.6,2017,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,3.35,3.84,,No sub-annual data available,10,0,0.375,0.021,-0.0030000000000000027,-0.005000000000000001,-0.0010000000000000044,-0.16666666666666682,0.57,0.10539922456186433
2017,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,3.35,0.57,247.5,2017,NISR Labour Force Survey microdata,1,3.84,4.06,,No sub-annual data available,10,0,0.4375,0.018,0.5519999999999999,0.5489999999999999,0.5549999999999999,0.968421052631579,0.597,0.1353352832366127
2018,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,3.84,0.597,413.7,2017,NISR Labour Force Survey microdata,1,4.06,4.07,,No sub-annual data available,10,1,0.5,0.57,0.027000000000000024,0.579,-0.5249999999999999,0.045226130653266375,0.6,0.17377394345044514
2019,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,4.06,0.6,581.9,2017,NISR Labour Force Survey microdata,1,4.07,4.17,,No sub-annual data available,10,2,0.5625,0.597,0.0030000000000000027,0.030000000000000027,-0.02400000000000002,0.0050000000000000044,0.592,0.22313016014842982
2020,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,4.07,0.592,543.6,2017,NISR Labour Force Survey microdata,1,4.17,4.46,,No sub-annual data available,10,3,0.625,0.6,-0.008000000000000007,-0.0050000000000000044,-0.01100000000000001,-0.013513513513513526,0.602,0.2865047968601901
2021,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,4.17,0.602,328.9,2017,NISR Labour Force Survey microdata,1,4.46,4.71,,No sub-annual data available,10,4,0.6875,0.592,0.010000000000000009,0.0020000000000000018,0.018000000000000016,0.016611295681063138,0.626,0.36787944117144233
2022,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,4.46,0.626,537.0,2017,NISR Labour Force Survey microdata,1,4.71,4.68,,No sub-annual data available,10,5,0.75,0.602,0.02400000000000002,0.03400000000000003,0.014000000000000012,0.03833865814696489,0.64,0.4723665527410147
2023,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,4.71,0.64,872.2,2017,NISR Labour Force Survey microdata,1,4.68,4.52,,No sub-annual data available,10,6,0.8125,0.626,0.014000000000000012,0.038000000000000034,-0.010000000000000009,0.02187500000000002,0.627,0.6065306597126334
2024,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,4.68,0.627,1131.1,2017,NISR Labour Force Survey microdata,1,4.52,6.7,,No sub-annual data available,10,7,0.875,0.64,-0.013000000000000012,0.0010000000000000009,-0.027000000000000024,-0.020733652312599698,0.61,0.7788007830714049
2025,annual,ICT,IT Governance & Audit,IT Auditor / IT Governance & Risk,Related ICT/business professional categories (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,4.52,0.61,1300.6,2017,NISR Labour Force Survey microdata,1,6.7,,,No sub-annual data available,10,8,0.9375,0.627,-0.017000000000000015,-0.030000000000000027,-0.0040000000000000036,-0.027868852459016418,0.735,1.0
2010,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,60.58,13.827,777.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,60.24,59.85,,No sub-annual data available,11,0,0.0,0.0,0.0,0.0,0.0,0.0,13.917,0.023517745856009107
2011,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,60.24,13.917,1035.4,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,59.85,59.96,,No sub-annual data available,11,1,0.0625,13.827,0.08999999999999986,0.0,0.0,0.006466910972192273,13.772,0.0301973834223185
2012,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,59.85,13.772,1322.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,59.96,60.43,,No sub-annual data available,11,2,0.125,13.917,-0.14499999999999957,-0.054999999999999716,-0.23499999999999943,-0.010528608771420242,13.634,0.03877420783172201
2013,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,59.96,13.634,1687.2,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,60.43,60.55,,No sub-annual data available,11,3,0.1875,13.772,-0.1379999999999999,-0.2829999999999995,0.006999999999999673,-0.010121754437435815,11.979,0.049787068367863944
2014,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,60.43,11.979,1893.9,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,60.55,60.16,,No sub-annual data available,11,4,0.25,13.634,-1.6550000000000011,-1.793000000000001,-1.5170000000000012,-0.13815844394356802,12.022,0.06392786120670757
2015,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,60.55,12.022,2403.0,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,60.16,59.83,,No sub-annual data available,11,5,0.3125,11.979,0.04300000000000104,-1.612,1.6980000000000022,0.003576775910830231,10.951,0.0820849986238988
2016,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,60.16,10.951,2819.3,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,59.83,60.04,,No sub-annual data available,11,6,0.375,12.022,-1.0709999999999997,-1.0279999999999987,-1.1140000000000008,-0.09779928773627976,10.192,0.10539922456186433
2017,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,59.83,10.192,4424.8,2010,NISR Labour Force Survey microdata,1,60.04,60.5,,No sub-annual data available,11,7,0.4375,10.951,-0.7590000000000003,-1.83,0.3119999999999994,-0.07447017268445844,9.337,0.1353352832366127
2018,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,60.04,9.337,6469.5,2010,NISR Labour Force Survey microdata,1,60.5,60.51,,No sub-annual data available,11,8,0.5,10.192,-0.8550000000000004,-1.6140000000000008,-0.09600000000000009,-0.09157116846952988,8.948,0.17377394345044514
2019,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,60.5,8.948,8677.9,2010,NISR Labour Force Survey microdata,1,60.51,60.08,,No sub-annual data available,11,9,0.5625,9.337,-0.38899999999999935,-1.2439999999999998,0.4660000000000011,-0.04347340187751445,8.802,0.22313016014842982
2020,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,60.51,8.802,8082.1,2010,NISR Labour Force Survey microdata,1,60.08,59.82,,No sub-annual data available,11,10,0.625,8.948,-0.1460000000000008,-0.5350000000000001,0.24299999999999855,-0.01658713928652588,8.669,0.2865047968601901
2021,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,60.08,8.669,4736.7,2010,NISR Labour Force Survey microdata,1,59.82,60.11,,No sub-annual data available,11,11,0.6875,8.802,-0.13299999999999912,-0.2789999999999999,0.013000000000001677,-0.015342023301418746,8.396,0.36787944117144233
2022,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,85785.0,2.4,3568275.0,34.4,27.3,20.7,1658214.0,59.82,8.396,7202.5,2010,NISR Labour Force Survey microdata,1,60.11,60.54,,No sub-annual data available,11,12,0.75,8.669,-0.2729999999999997,-0.4059999999999988,-0.14000000000000057,-0.03251548356360168,8.161,0.4723665527410147
2023,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,136289.0,3.42,3985164.0,36.1,29.8,17.3,1981482.0,60.11,8.161,11122.5,2010,NISR Labour Force Survey microdata,1,60.54,60.46,,No sub-annual data available,11,13,0.8125,8.396,-0.2350000000000012,-0.5080000000000009,0.03799999999999848,-0.028795490748682907,8.119,0.6065306597126334
2024,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,180399.0,4.01,4501393.0,38.7,33.0,14.9,2366916.0,60.54,8.119,14646.6,2010,NISR Labour Force Survey microdata,1,60.46,93.7,,No sub-annual data available,11,14,0.875,8.161,-0.041999999999999815,-0.277000000000001,0.1930000000000014,-0.005173050868333516,8.163,0.7788007830714049
2025,annual,ICT,IT Operations & Support,IT Officer / ICT Administrator,ICT professionals / ICT technicians (proxy),trackable analytical role,213208.0,4.4,4846623.0,39.6,34.7,12.4,2593752.0,60.46,8.163,17404.2,2010,NISR Labour Force Survey microdata,1,93.7,,,No sub-annual data available,11,15,0.9375,8.119,0.04400000000000048,0.002000000000000668,0.0860000000000003,0.005390175180693431,10.344,1.0
2010,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,5625.0,0.25,2250000.0,26.5,20.7,22.0,950000.0,54.14,12.357,695.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,53.17,52.43,,No sub-annual data available,12,0,0.0,0.0,0.0,0.0,0.0,0.0,12.285,0.023517745856009107
2011,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,7440.0,0.32,2325000.0,27.0,21.3,21.5,1000000.0,53.17,12.285,914.0,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,52.43,52.98,,No sub-annual data available,12,1,0.0625,12.357,-0.07199999999999918,0.0,0.0,-0.005860805860805794,12.066,0.0301973834223185
2012,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,9600.0,0.4,2400000.0,27.5,21.7,21.0,1060000.0,52.43,12.066,1158.3,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,52.98,54.04,,No sub-annual data available,12,2,0.125,12.285,-0.21899999999999942,-0.2909999999999986,-0.14700000000000024,-0.018150174042764745,12.047,0.03877420783172201
2013,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,12375.0,0.5,2475000.0,28.0,22.3,20.5,1120000.0,52.98,12.047,1490.8,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,54.04,54.03,,No sub-annual data available,12,3,0.1875,12.066,-0.019000000000000128,-0.23799999999999955,0.1999999999999993,-0.0015771561384577179,10.713,0.049787068367863944
2014,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,15810.0,0.62,2550000.0,28.5,22.8,20.0,1190000.0,54.04,10.713,1693.7,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,54.03,52.99,,No sub-annual data available,12,4,0.25,12.047,-1.3340000000000014,-1.3530000000000015,-1.3150000000000013,-0.12452160925977798,10.727,0.06392786120670757
2015,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,19988.0,0.76,2630000.0,29.2,23.7,19.0,1270000.0,54.03,10.727,2144.1,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,52.99,52.44,,No sub-annual data available,12,5,0.3125,10.713,0.014000000000001123,-1.3200000000000003,1.3480000000000025,0.0013051179267270553,9.646,0.0820849986238988
2016,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,25745.0,0.95,2710000.0,30.0,24.6,18.0,1370000.0,52.99,9.646,2483.4,2010,"NISR EICV/Census estimates, scaled to LFS 2017 anchor",1,52.44,53.17,,No sub-annual data available,12,6,0.375,10.727,-1.0809999999999995,-1.0669999999999984,-1.0950000000000006,-0.1120671781049139,8.933,0.10539922456186433
2017,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,43414.0,1.45,2989249.0,31.1,25.7,17.3,1521482.0,52.44,8.933,3878.2,2010,NISR Labour Force Survey microdata,1,53.17,54.15,,No sub-annual data available,12,7,0.4375,9.646,-0.713000000000001,-1.7940000000000005,0.36799999999999855,-0.07981641106011429,8.269,0.1353352832366127
2018,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,69289.0,2.16,3207336.0,31.8,27.0,15.1,1667810.0,53.17,8.269,5729.5,2010,NISR Labour Force Survey microdata,1,54.15,53.89,,No sub-annual data available,12,8,0.5,8.933,-0.6639999999999997,-1.3770000000000007,0.049000000000001265,-0.08029991534647475,8.009,0.17377394345044514
2019,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,96982.0,2.96,3273921.0,31.6,26.8,15.2,1762786.0,54.15,8.009,7767.3,2010,NISR Labour Force Survey microdata,1,53.89,52.83,,No sub-annual data available,12,9,0.5625,8.269,-0.2599999999999998,-0.9239999999999995,0.4039999999999999,-0.03246347858659006,7.839,0.22313016014842982
2020,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,91821.0,2.63,3495187.0,34.1,28.0,17.9,1810012.0,53.89,7.839,7197.8,2010,NISR Labour Force Survey microdata,1,52.83,52.48,,No sub-annual data available,12,10,0.625,8.009,-0.16999999999999993,-0.4299999999999997,0.08999999999999986,-0.021686439596887347,7.622,0.2865047968601901
2021,annual,ICT,IT Operations & Support,IT Support / Help Desk Technician,ICT user support / operations technicians,trackable analytical role,54640.0,1.65,3308800.0,32.8,25.9,21.1,1534993.0,52.83,7.622,4164.7,2010,NISR Labour Force Survey microdata,1,52.48,53.37,,No sub-annual data available,12,11,0.6875,7.839,-0.21700000000000053,-0.38700000000000045,-0.0470000000000006,-0.028470217790606208,7.365,0.36787944117144233
